"","Early_stage","Intermediate1_stage","Intermediate2_stage","Intermediate3_stage","Late_stage"
"aqp-1",3.52651580498524,3.47131479535457,3.94730871264409,4.23205930484571,6.67318440417882
"aqp-2",7.50699960748974,11.5684181061536,13.4591395805351,12.0012919974989,10.0020610343328
"aqp-4",3.38433883139854,3.53237101565256,6.58441000847433,8.10612874560112,6.50486161107909
"aqp-7",4.38528068514618,4.98976281211598,7.4879239764317,7.43615913413464,9.23060632043618
"aqp-8",4.32531760578622,4.16615830843324,5.26560330536285,6.04798558034577,8.00600377105027
"aqp-10",6.95392121751074,8.56586174758444,8.28542777392109,8.50880307031533,8.22918510845411
"aqp-11",5.74817209564825,7.45441720117923,6.86015490722166,6.17863442183195,6.0143895422638
"arc-1",4.85282504539313,5.81194080672369,6.34220391274057,5.55826240072486,4.9634376803226
"arf-1.2",10.0803119010879,11.4714922798456,10.9335239392528,9.75102467633284,8.01065435189927
"arf-3",8.88552237249221,9.41981061703919,9.58135038540256,8.53566416236306,7.60826702834489
"ark-1",6.14027970407698,6.14625511541524,8.20484432287343,9.07779612480291,7.38871462592749
"arl-1",6.5670797457612,6.8909425137698,6.78648129967391,6.11651119999133,4.71393873369138
"arl-3",3.870015304919,3.32635444741577,6.56568850865683,7.32005409395158,6.18178639407827
"arl-5",6.41043982830254,5.881257259027,5.87313332028377,4.81094873587056,3.82052401666376
"arl-6",3.92400869547051,3.78763467610373,5.66797641226777,4.97044956803249,3.84244050025691
"arx-1",7.06010467729943,8.28275920041967,7.55636083369565,6.4993594043989,6.15422339717697
"exos-4.2",8.36273862739225,7.56278269541932,6.19861256959085,6.61632411616155,6.44728006099883
"arx-5",6.82004887135894,7.86110107210026,7.37723091829044,6.20916555735916,5.96908785854508
"arx-6",7.1558968433255,8.54403937888961,8.09094109351543,7.83694909153124,6.88974954983147
"asb-1",8.45451549204536,6.74052954641564,6.61118087796159,6.63501629109949,6.81023435737224
"asb-2",7.99250291207237,8.92739639123926,8.98267243504024,9.47424180652361,9.76872789491269
"asc-1",6.18677777193424,6.86351701356232,6.02236876004508,5.35200262202473,4.0586290862374
"asg-1",8.95991058583158,7.95404769271899,7.62017905629339,7.60886944445899,7.70710148348822
"asg-2",6.50809696864365,7.14575772023111,7.84732327662819,7.39022156725886,8.0491238601917
"asm-1",6.07595098961283,5.22502949250445,4.05267893522284,4.087347054558,4.80105788543916
"asp-1",4.83166161190238,4.68520446986665,5.52235537793926,8.52099568953678,9.54593276735434
"asp-2",5.26553213248018,4.98776569474438,6.91313948217964,9.73746595018185,10.34848208698
