"","Early_stage","Intermediate1_stage","Intermediate2_stage","Intermediate3_stage","Late_stage"
"rpl-17",7.73370885122393,9.80720258927293,10.6452338418387,11.6509272005662,12.2208280791736
"rpl-18",7.99902551406503,9.97849597782419,10.7485770275582,11.7894391686289,12.2108855002333
"rpl-22",7.39145232492861,9.95601137866962,10.3998405448876,10.9243222881112,11.2554851954608
"rps-3",9.04310367374052,10.3201410212472,10.6705807280158,11.1575652380788,11.9142377549375
"rps-4",7.68309648506473,9.66159771080289,10.2277232434185,10.4293291590951,10.7281627312094
"rps-5",8.32952061217669,10.3186899972724,11.1084861113232,11.9871671657867,12.4816384205999
"rps-7",7.86894735385404,10.0092699213221,10.6800434307567,11.8580098386286,12.1172717554495
"rps-11",8.09446496916598,10.1971385644941,10.950203254909,11.8741378703879,12.0825585564947
"rps-19",8.38596041914682,10.3266319791333,11.1265383912469,11.7246910718272,12.1515563858322
"rps-21",8.99857911730434,11.3771578165485,12.3370638760013,12.9526078984957,13.3626711802086
"sqt-3",5.20696554958362,10.5658450848504,13.776825967537,13.9564484966161,8.96143296400754
"sup-12",4.83934035861572,8.41418542230032,8.60138243041874,9.0620226055123,7.58455051198383
"sym-1",6.00631240046358,10.8798117120544,10.8329141418904,6.50872128185233,6.00948559045366
"tnc-2",3.61633845746007,4.01805292095131,5.49125635523385,8.79557060850557,11.3838329745889
"tni-1",4.09398700086532,6.08932181253877,10.7451362946177,11.5300269388238,12.0073435108751
"tts-2",3.99165841497764,4.67362195602755,8.8483195456125,12.3374415159475,12.1267418915104
"unc-22",4.1061244116826,4.27059326827364,6.16077775587653,7.45155379263112,10.0397663799736
"vha-12",7.9474842891955,7.8820043366325,9.4025316129358,11.4146252380264,11.7672368816686
"wrt-10",5.47507795386057,10.3397332982582,10.4521382885558,5.8066254205741,5.0457459096703
"C35C5.10",3.62115422630736,4.05722873254053,6.87746710291204,8.32548421191321,6.63337513141925
"F07A11.4",3.83691765573085,4.11703596057836,6.7131580343797,7.65715898412268,6.10878121091238
"F08G5.6",3.90573214226694,3.94387001573075,4.90278173515428,6.44526670793188,9.28439851210813
"F09B12.3",4.17903435250004,4.51068222577745,7.2075986123838,8.35662475846413,9.15204794180939
"F10G8.8",4.22140744981312,6.20026830988107,8.47804858138545,6.28948908173452,5.11449507084708
"clec-196",9.54917973979225,10.9377038815808,6.44540543748715,3.32906503862119,3.23942654684772
"ccch-1",3.47792509244141,4.27392798314633,7.41695902588928,8.62463439828369,10.0589567170134
"F53F8.4",3.69159024548435,3.62408282479053,3.77877591604463,5.32622883050154,10.5791833421819
"dct-18",5.1074532705642,8.31313926433239,9.69120456532574,9.54908477721583,8.82984433713708
"rack-1",8.4772322136215,9.83368959800353,10.9440990126231,12.0348651398688,12.5470647475014
"K07C5.9",3.29560476749868,3.47127714637563,5.75333605274915,8.75996297359863,7.65335841982223
"pitp-1",3.86971824410733,5.33868317710003,6.96194827931698,7.9618128090126,8.291119027255
"M176.5",3.96438932450283,3.69322096318607,6.07379234524963,8.36220558552916,8.48754471066608
